shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
03,39.942875,-0.058685,1
03,39.944197,-0.055147,2
03,39.944109,-0.054958,3
03,39.944178,-0.054561,4
03,39.944083,-0.054499,5
03,39.942672,-0.054594,6
03,39.942361,-0.054285,7
03,39.942282,-0.054245,8
03,39.94195,-0.052257,9
03,39.942044,-0.051356,10
03,39.940623,-0.04933,11
03,39.93826,-0.043494,12
03,39.937446,-0.035168,13
03,39.935757,-0.027039,14
03,39.937675,-0.023825,15
03,39.938906,-0.022912,16
03,39.940294,-0.0194,17
03,39.943081,-0.017313,18
03,39.943797,-0.016083,19
03,39.943957,-0.015941,20
03,39.942236,-0.011334,21
03,39.940157,-0.005706,22
03,39.938415,0.000858,23
03,39.94141,0.001536,24
03,39.94144,0.001543,25
03,39.942666,-0.00292,26
03,39.944356,-0.008098,27
03,39.945968,-0.012382,28
03,39.946413,-0.013785,29
03,39.943609,-0.016264,30
03,39.943186,-0.017184,31
03,39.940294,-0.0194,32
03,39.939057,-0.02276,33
03,39.937675,-0.023825,34
03,39.937497,-0.020579,35
03,39.938892,-0.014078,36
03,39.939157,-0.012868,37
03,39.937306,-0.009186,38
03,39.93542,-0.004313,39
03,39.934815,-0.001514,40
03,39.93408,-0.000196,41
03,39.934019,-0.00021,42
03,39.915268,-0.006404,43
03,39.914874,-0.007102,44
03,39.915013,-0.007449,45
03,39.916714,-0.00696,46
03,39.9199,-0.006016,47
03,39.923819,-0.01806,48
03,39.927209,-0.027422,49
03,39.929818,-0.032104,50
03,39.931021,-0.034217,51
03,39.931779,-0.03692,52
03,39.933728,-0.04219,53
03,39.934773,-0.046462,54
03,39.936013,-0.050525,55
03,39.936726,-0.051854,56
03,39.937715,-0.054363,57
03,39.937769,-0.054376,58
03,39.937947,-0.054488,59
03,39.938022,-0.054697,60
03,39.937888,-0.055119,61
03,39.937845,-0.055492,62
03,39.93791,-0.055896,63
03,39.93846,-0.057125,64
03,39.940075,-0.060177,65
03,39.942101,-0.060841,66
03,39.942184,-0.060771,67
03,39.942246,-0.060719,68
03,39.942872,-0.058691,69
04,39.942874,-0.058687,1
04,39.943483,-0.057166,2
04,39.944197,-0.055147,3
04,39.944168,-0.05457,4
04,39.944535,-0.054502,5
04,39.944705,-0.05485,6
04,39.944593,-0.05515,7
04,39.94551,-0.057623,8
04,39.946679,-0.060634,9
04,39.946975,-0.060452,10
04,39.947096,-0.060718,11
04,39.947758,-0.06052,12
04,39.94902,-0.060155,13
04,39.948891,-0.059667,14
04,39.949957,-0.059363,15
04,39.952452,-0.058899,16
04,39.952626,-0.058917,17
04,39.952485,-0.059098,18
04,39.9528,-0.05965,19
04,39.954971,-0.063467,20
04,39.956388,-0.065968,21
04,39.956185,-0.066791,22
04,39.956017,-0.06757,23
04,39.955962,-0.067719,24
04,39.955907,-0.067517,25
04,39.955444,-0.067538,26
04,39.954834,-0.067947,27
04,39.95276,-0.067115,28
04,39.951315,-0.066535,29
04,39.948979,-0.071453,30
04,39.94463,-0.066033,31
04,39.946101,-0.064378,32
04,39.951315,-0.066535,33
04,39.951697,-0.065679,34
04,39.950569,-0.06408,35
04,39.949567,-0.06182,36
04,39.949116,-0.060394,37
04,39.949043,-0.060235,38
04,39.947745,-0.060623,39
04,39.947114,-0.060811,40
04,39.947228,-0.061342,41
04,39.946967,-0.061681,42
04,39.94652,-0.06102,43
04,39.946453,-0.06081,44
04,39.946643,-0.060659,45
04,39.946416,-0.060071,46
04,39.944524,-0.05527,47
04,39.944483,-0.055226,48
04,39.943963,-0.055933,49
04,39.942878,-0.058676,50
